iso_code,continent,location,date,new_cases,new_deaths
ALB,Europe,Albania,16/03/2020,9,0
ALB,Europe,Albania,17/03/2020,4,0
ALB,Europe,Albania,18/03/2020,4,1
ALB,Europe,Albania,19/03/2020,5,0
ALB,Europe,Albania,20/03/2020,6,0
ALB,Europe,Albania,21/03/2020,6,0
ALB,Europe,Albania,22/03/2020,13,0
ALB,Europe,Albania,23/03/2020,15,2
ITA,Europe,Italy,23/12/2020,13908,553
ITA,Europe,Italy,24/12/2020,18039,505
ITA,Europe,Italy,25/12/2020,19037,459
ITA,Europe,Italy,26/12/2020,10405,261
ITA,Europe,Italy,27/12/2020,8937,305
ITA,Europe,Italy,28/12/2020,8581,445
ITA,Europe,Italy,29/12/2020,11210,659
ITA,Europe,Italy,30/12/2020,16202,575
ITA,Europe,Italy,31/12/2020,23477,555
ITA,Europe,Italy,1/01/2021,22210,462
ITA,Europe,Italy,2/01/2021,11825,364
ITA,Europe,Italy,3/01/2021,14245,347
ITA,Europe,Italy,4/01/2021,10798,348
ITA,Europe,Italy,5/01/2021,15375,649
ITA,Europe,Italy,6/01/2021,20326,548
ITA,Europe,Italy,7/01/2021,18416,414
ITA,Europe,Italy,8/01/2021,17529,620
ITA,Europe,Italy,9/01/2021,19976,483
ITA,Europe,Italy,10/01/2021,18625,361
LIE,Europe,Liechtenstein,16/03/2020,0,0
LIE,Europe,Liechtenstein,17/03/2020,3,0
LIE,Europe,Liechtenstein,18/03/2020,21,0
LIE,Europe,Liechtenstein,19/03/2020,0,0
LIE,Europe,Liechtenstein,20/03/2020,0,0
LIE,Europe,Liechtenstein,21/03/2020,9,0
RUS,Europe,Russia,22/10/2020,15704,286
RUS,Europe,Russia,23/10/2020,17077,281
RUS,Europe,Russia,24/10/2020,16260,294
RUS,Europe,Russia,25/10/2020,16392,228
RUS,Europe,Russia,26/10/2020,17148,217
RUS,Europe,Russia,27/10/2020,16342,317
RUS,Europe,Russia,28/10/2020,15886,343
RUS,Europe,Russia,29/10/2020,17418,359
RUS,Europe,Russia,30/10/2020,17987,351
RUS,Europe,Russia,31/10/2020,17834,325
RUS,Europe,Russia,1/11/2020,18381,239
RUS,Europe,Russia,2/11/2020,18017,238
RUS,Europe,Russia,3/11/2020,18431,347
RUS,Europe,Russia,4/11/2020,19483,385
RUS,Europe,Russia,5/11/2020,19116,289
RUS,Europe,Russia,6/11/2020,20368,369
RUS,Europe,Russia,7/11/2020,20109,356
RUS,Europe,Russia,8/11/2020,20248,282
RUS,Europe,Russia,9/11/2020,21577,254
RUS,Europe,Russia,10/11/2020,20765,353
RUS,Europe,Russia,11/11/2020,19583,427
RUS,Europe,Russia,12/11/2020,21333,429
RUS,Europe,Russia,13/11/2020,21717,401
RUS,Europe,Russia,14/11/2020,22441,380
RUS,Europe,Russia,15/11/2020,22313,349
RUS,Europe,Russia,16/11/2020,22562,299
RUS,Europe,Russia,17/11/2020,22201,435
RUS,Europe,Russia,18/11/2020,20717,449
RUS,Europe,Russia,19/11/2020,23337,457
RUS,Europe,Russia,20/11/2020,24059,455
RUS,Europe,Russia,21/11/2020,24538,462
RUS,Europe,Russia,22/11/2020,24295,396
RUS,Europe,Russia,23/11/2020,24891,354
RUS,Europe,Russia,24/11/2020,24087,483
RUS,Europe,Russia,25/11/2020,23393,498
RUS,Europe,Russia,26/11/2020,25195,515
RUS,Europe,Russia,27/11/2020,27267,487
RUS,Europe,Russia,28/11/2020,26809,501
RUS,Europe,Russia,29/11/2020,26390,451
RUS,Europe,Russia,30/11/2020,26046,364
FRA,Europe,France,16/03/2020,2151,58
FRA,Europe,France,17/03/2020,1032,0
FRA,Europe,France,18/03/2020,1409,0
FRA,Europe,France,19/03/2020,1846,95
FRA,Europe,France,20/03/2020,1788,207
FRA,Europe,France,21/03/2020,1705,112
FRA,Europe,France,22/03/2020,2295,113
FRA,Europe,France,23/03/2020,3365,186
FRA,Europe,France,24/03/2020,2249,240
FRA,Europe,France,25/03/2020,2962,231
FRA,Europe,France,26/03/2020,3918,364
FRA,Europe,France,27/03/2020,3795,299
FRA,Europe,France,28/03/2020,4645,318
FRA,Europe,France,29/03/2020,2603,294
FRA,Europe,France,30/03/2020,4354,418
FRA,Europe,France,31/03/2020,7629,500
FRA,Europe,France,1/04/2020,4844,1252
FRA,Europe,France,2/04/2020,2106,609
FRA,Europe,France,3/04/2020,5224,1122
FRA,Europe,France,4/04/2020,17074,1053
FRA,Europe,France,5/04/2020,855,519
FRA,Europe,France,6/04/2020,2654,833
FRA,Europe,France,7/04/2020,3491,1416
FRA,Europe,France,8/04/2020,3855,544
FRA,Europe,France,9/04/2020,3784,1340
FRA,Europe,France,10/04/2020,1565,985
FRA,Europe,France,11/04/2020,1445,636
FRA,Europe,France,12/04/2020,50746,561
FRA,Europe,France,13/04/2020,3141,573
FRA,Europe,France,14/04/2020,17448,743
FRA,Europe,France,15/04/2020,3208,1438
FRA,Europe,France,16/04/2020,12578,753
FRA,Europe,France,17/04/2020,1891,761
FRA,Europe,France,18/04/2020,3806,641
FRA,Europe,France,19/04/2020,1092,389
FRA,Europe,France,20/04/2020,2447,547
FRA,Europe,France,21/04/2020,2666,528
FRA,Europe,France,22/04/2020,1800,544
FRA,Europe,France,23/04/2020,1710,516
FRA,Europe,France,24/04/2020,2811,390
FRA,Europe,France,25/04/2020,1678,369
FRA,Europe,France,26/04/2020,633,242
FRA,Europe,France,27/04/2020,3686,437
FRA,Europe,France,28/04/2020,3132,367
FRA,Europe,France,29/04/2020,1455,426
FRA,Europe,France,30/04/2020,1218,289
FRA,Europe,France,1/05/2020,526,217
FRA,Europe,France,2/05/2020,792,197
FRA,Europe,France,3/05/2020,361,135
FRA,Europe,France,4/05/2020,562,306
FRA,Europe,France,5/05/2020,1117,333
FRA,Europe,France,6/05/2020,4136,275
FRA,Europe,France,7/05/2020,741,179
FRA,Europe,France,8/05/2020,531,242
FRA,Europe,France,9/05/2020,529,80
FRA,Europe,France,10/05/2020,249,70
FRA,Europe,France,11/05/2020,314,263
FRA,Europe,France,12/05/2020,753,348
FRA,Europe,France,13/05/2020,521,85
FRA,Europe,France,14/05/2020,642,351
FRA,Europe,France,15/05/2020,513,102
FRA,Europe,France,16/05/2020,415,98
FRA,Europe,France,17/05/2020,140,483
FRA,Europe,France,18/05/2020,444,129
FRA,Europe,France,19/05/2020,501,217
FRA,Europe,France,20/05/2020,482,111
FRA,Europe,France,21/05/2020,267,82
FRA,Europe,France,22/05/2020,756,148
FRA,Europe,France,23/05/2020,546,86
FRA,Europe,France,24/05/2020,439,80
FRA,Europe,France,25/05/2020,325,89
FRA,Europe,France,26/05/2020,255,137
FRA,Europe,France,15/06/2020,136,28
FRA,Europe,France,16/06/2020,663,114
FRA,Europe,France,17/06/2020,488,25
FRA,Europe,France,18/06/2020,586,28
FRA,Europe,France,19/06/2020,787,14
FRA,Europe,France,20/06/2020,619,18
FRA,Europe,France,21/06/2020,343,6
FRA,Europe,France,22/06/2020,142,24
FRA,Europe,France,23/06/2020,698,54
FRA,Europe,France,24/06/2020,268,13
FRA,Europe,France,25/06/2020,255,19
FRA,Europe,France,26/06/2020,1263,26
FRA,Europe,France,27/06/2020,448,1
FRA,Europe,France,28/06/2020,406,0
FRA,Europe,France,29/06/2020,645,35
FRA,Europe,France,30/06/2020,441,30
FRA,Europe,France,1/07/2020,990,19
FRA,Europe,France,2/07/2020,539,13
FRA,Europe,France,3/07/2020,539,18
FRA,Europe,France,4/07/2020,358,0
FRA,Europe,France,5/07/2020,11,1
FRA,Europe,France,6/07/2020,1018,30
FRA,Europe,France,7/07/2020,454,11
FRA,Europe,France,8/07/2020,822,31
FRA,Europe,France,9/07/2020,444,16
FRA,Europe,France,10/07/2020,715,26
FRA,Europe,France,11/07/2020,251,3
FRA,Europe,France,12/07/2020,16,0
FRA,Europe,France,13/07/2020,1423,23
FRA,Europe,France,14/07/2020,62,2
FRA,Europe,France,15/07/2020,727,88
FRA,Europe,France,16/07/2020,569,17
FRA,Europe,France,17/07/2020,829,13
FRA,Europe,France,18/07/2020,163,3
FRA,Europe,France,19/07/2020,4,0
FRA,Europe,France,20/07/2020,1911,24
FRA,Europe,France,21/07/2020,595,13
FRA,Europe,France,22/07/2020,921,6
FRA,Europe,France,23/07/2020,1236,11
FRA,Europe,France,24/07/2020,1091,10
FRA,Europe,France,25/07/2020,88,0
FRA,Europe,France,26/07/2020,0,0
FRA,Europe,France,27/07/2020,2488,18
FRA,Europe,France,28/07/2020,564,13
FRA,Europe,France,29/07/2020,1470,14
FRA,Europe,France,30/07/2020,1389,16
FRA,Europe,France,31/07/2020,1308,11
FRA,Europe,France,1/08/2020,63,0
FRA,Europe,France,2/08/2020,3,0
FRA,Europe,France,3/08/2020,3360,30
FRA,Europe,France,4/08/2020,971,2
FRA,Europe,France,5/08/2020,1708,11
FRA,Europe,France,6/08/2020,1601,4
FRA,Europe,France,7/08/2020,2387,13
FRA,Europe,France,8/08/2020,70,1
FRA,Europe,France,9/08/2020,35,0
FRA,Europe,France,10/08/2020,4731,15
FRA,Europe,France,11/08/2020,1414,14
FRA,Europe,France,12/08/2020,2598,18
FRA,Europe,France,13/08/2020,2678,17
FRA,Europe,France,14/08/2020,2923,19
FRA,Europe,France,15/08/2020,3210,1
FRA,Europe,France,16/08/2020,3003,1
FRA,Europe,France,17/08/2020,650,20
FRA,Europe,France,18/08/2020,2119,22
FRA,Europe,France,19/08/2020,3772,18
FRA,Europe,France,20/08/2020,4800,11
FRA,Europe,France,21/08/2020,5009,24
FRA,Europe,France,22/08/2020,3474,9
FRA,Europe,France,23/08/2020,4680,0
FRA,Europe,France,24/08/2020,1976,16
FRA,Europe,France,25/08/2020,3616,19
FRA,Europe,France,26/08/2020,287,0
FRA,Europe,France,27/08/2020,11203,35
FRA,Europe,France,28/08/2020,7641,18
FRA,Europe,France,29/08/2020,5460,6
FRA,Europe,France,30/08/2020,5366,3
FRA,Europe,France,31/08/2020,3113,31
FRA,Europe,France,1/09/2020,5104,27
FRA,Europe,France,2/09/2020,7113,27
FRA,Europe,France,3/09/2020,7122,17
FRA,Europe,France,4/09/2020,8834,21
FRA,Europe,France,5/09/2020,8594,12
FRA,Europe,France,6/09/2020,7016,4
FRA,Europe,France,7/09/2020,4266,23
FRA,Europe,France,8/09/2020,6738,38
FRA,Europe,France,9/09/2020,8619,32
FRA,Europe,France,10/09/2020,9762,19
FRA,Europe,France,11/09/2020,9509,82
FRA,Europe,France,12/09/2020,11337,18
FRA,Europe,France,13/09/2020,6345,5
FRA,Europe,France,14/09/2020,6396,34
FRA,Europe,France,15/09/2020,7826,50
FRA,Europe,France,16/09/2020,10191,48
FRA,Europe,France,17/09/2020,10239,47
FRA,Europe,France,18/09/2020,13233,154
FRA,Europe,France,19/09/2020,13560,25
FRA,Europe,France,20/09/2020,10536,11
FRA,Europe,France,21/09/2020,5539,53
FRA,Europe,France,22/09/2020,10084,79
FRA,Europe,France,23/09/2020,13291,48
FRA,Europe,France,24/09/2020,15850,46
FRA,Europe,France,25/09/2020,16104,151
FRA,Europe,France,26/09/2020,14220,39
FRA,Europe,France,27/09/2020,10635,27
FRA,Europe,France,28/09/2020,4299,84
FRA,Europe,France,29/09/2020,8005,73
FRA,Europe,France,30/09/2020,14366,80
FRA,Europe,France,1/10/2020,13051,57
FRA,Europe,France,2/10/2020,12436,136
FRA,Europe,France,3/10/2020,16488,25
FRA,Europe,France,4/10/2020,12504,32
FRA,Europe,France,5/10/2020,5639,71
FRA,Europe,France,6/10/2020,11310,87
FRA,Europe,France,7/10/2020,18953,80
FRA,Europe,France,8/10/2020,17402,73
FRA,Europe,France,9/10/2020,21088,110
FRA,Europe,France,10/10/2020,26677,35
FRA,Europe,France,11/10/2020,15937,46
FRA,Europe,France,12/10/2020,9212,97
FRA,Europe,France,13/10/2020,13626,128
FRA,Europe,France,14/10/2020,23002,106
FRA,Europe,France,15/10/2020,29757,85
FRA,Europe,France,16/10/2020,25632,179
FRA,Europe,France,17/10/2020,32104,73
FRA,Europe,France,18/10/2020,29837,85
FRA,Europe,France,19/10/2020,14289,148
FRA,Europe,France,20/10/2020,20376,281
FRA,Europe,France,21/10/2020,27422,168
FRA,Europe,France,22/10/2020,40813,154
FRA,Europe,France,23/10/2020,42837,300
FRA,Europe,France,24/10/2020,45265,136
FRA,Europe,France,25/10/2020,6616,21
FRA,Europe,France,26/10/2020,73010,389
FRA,Europe,France,27/10/2020,34482,529
FRA,Europe,France,28/10/2020,37550,259
FRA,Europe,France,29/10/2020,46612,232
FRA,Europe,France,30/10/2020,49474,547
FRA,Europe,France,31/10/2020,35070,222
FRA,Europe,France,1/11/2020,46179,231
FRA,Europe,France,2/11/2020,106091,428
FRA,Europe,France,3/11/2020,72601,1279
FRA,Europe,France,4/11/2020,46076,31
FRA,Europe,France,5/11/2020,57806,354
FRA,Europe,France,6/11/2020,60952,829
FRA,Europe,France,7/11/2020,86655,303
FRA,Europe,France,8/11/2020,38562,270
FRA,Europe,France,9/11/2020,21424,560
FRA,Europe,France,10/11/2020,22613,1231
FRA,Europe,France,11/11/2020,36406,328
FRA,Europe,France,12/11/2020,32628,415
FRA,Europe,France,13/11/2020,24065,933
FRA,Europe,France,14/11/2020,31957,353
FRA,Europe,France,15/11/2020,27192,303
FRA,Europe,France,16/11/2020,10050,511
FRA,Europe,France,17/11/2020,45602,1226
FRA,Europe,France,18/11/2020,28897,431
FRA,Europe,France,19/11/2020,20736,417
FRA,Europe,France,20/11/2020,23264,1141
FRA,Europe,France,21/11/2020,17670,252
FRA,Europe,France,22/11/2020,13130,214
FRA,Europe,France,23/11/2020,5062,506
FRA,Europe,France,24/11/2020,9921,1011
FRA,Europe,France,25/11/2020,16754,388
FRA,Europe,France,26/11/2020,13001,331
FRA,Europe,France,27/11/2020,12774,959
FRA,Europe,France,28/11/2020,12477,212
FRA,Europe,France,29/11/2020,9763,198
FRA,Europe,France,30/11/2020,4354,409
FRA,Europe,France,1/12/2020,8364,777
FRA,Europe,France,2/12/2020,14228,311
FRA,Europe,France,3/12/2020,12787,324
FRA,Europe,France,4/12/2020,11511,630
FRA,Europe,France,5/12/2020,12882,212
FRA,Europe,France,6/12/2020,10949,174
FRA,Europe,France,7/12/2020,3411,366
FRA,Europe,France,8/12/2020,14037,838
FRA,Europe,France,9/12/2020,14675,297
FRA,Europe,France,10/12/2020,13872,296
FRA,Europe,France,11/12/2020,13489,628
FRA,Europe,France,12/12/2020,0,1
FRA,Europe,France,13/12/2020,25480,344
FRA,Europe,France,14/12/2020,3192,376
FRA,Europe,France,15/12/2020,11655,791
FRA,Europe,France,16/12/2020,17720,290
FRA,Europe,France,17/12/2020,18398,261
FRA,Europe,France,18/12/2020,16005,612
FRA,Europe,France,19/12/2020,17428,189
FRA,Europe,France,20/12/2020,12799,131
FRA,Europe,France,21/12/2020,5960,354
FRA,Europe,France,22/12/2020,11861,802
FRA,Europe,France,23/12/2020,15038,277
FRA,Europe,France,24/12/2020,21718,291
FRA,Europe,France,25/12/2020,20262,159
FRA,Europe,France,26/12/2020,3093,146
FRA,Europe,France,27/12/2020,8822,173
FRA,Europe,France,28/12/2020,3106,368
FRA,Europe,France,29/12/2020,11494,969
FRA,Europe,France,30/12/2020,26514,304
FRA,Europe,France,31/12/2020,20042,251
FRA,Europe,France,1/01/2021,19348,133
FRA,Europe,France,2/01/2021,3466,156
FRA,Europe,France,3/01/2021,12495,116
FRA,Europe,France,4/01/2021,4084,385
FRA,Europe,France,5/01/2021,20825,868
FRA,Europe,France,6/01/2021,25232,282
FRA,Europe,France,7/01/2021,254,1
FRA,Europe,France,8/01/2021,41373,866
FRA,Europe,France,9/01/2021,20177,168
FRA,Europe,France,10/01/2021,15944,151
FRA,Europe,France,27/05/2020,172,1
FRA,Europe,France,28/05/2020,3343,67
FRA,Europe,France,29/05/2020,594,51
FRA,Europe,France,30/05/2020,1795,57
FRA,Europe,France,31/05/2020,231,31
FRA,Europe,France,1/06/2020,407,32
FRA,Europe,France,2/06/2020,647,106
FRA,Europe,France,3/06/2020,3226,81
FRA,Europe,France,4/06/2020,4360,45
FRA,Europe,France,5/06/2020,581,45
FRA,Europe,France,6/06/2020,572,31
FRA,Europe,France,7/06/2020,341,13
FRA,Europe,France,8/06/2020,274,55
FRA,Europe,France,9/06/2020,553,88
FRA,Europe,France,10/06/2020,625,21
FRA,Europe,France,11/06/2020,364,27
FRA,Europe,France,12/06/2020,802,28
FRA,Europe,France,13/06/2020,497,24
FRA,Europe,France,14/06/2020,390,10
